id,text,class,filtered_sentence
0,SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ…,Political,ප පන සදව වකන මල ගන හම හර දන මඩ චන දයක දටව අහ අප සරබ කව
2,lanka C news  රනිල් අගමැති කරන්න යෝජනාවක් පාර්ලිමේන්තුවට  වැනිදා ඡන්ද විමසීමක් දෙමල සන්ධානයත් පක ,Political,රනල අගම කර යජනව පරලමනතව වනද චන වමසම දම සනධන පක
4,Jvp එක උගුරට හොරා බෙහෙත් බොනවjvp කරන්න ඕන ඒව රන්ජන් තනියම ගේම ගහනව,Political,එක උගර හර බහ බනව කර ඔන එව රනජ තනය ගම ගහන
6,Gotabaya Rajapaksa ජනාධිපතිතුමණි ඔබතුමා රටක් පාලනය කරන්න තියා ගමේ මරණාධාර සමිතියේ සභාපතිකමටවත් සුදුසු නෑ කියලා ඔප්පු කරලා ඉවරයි,Political,ජනධපතතමන ඔබතම රට පලන කර ත ගම මරනධර සමත සබපතකමට සදස කය ඔප කර ඉවර
8,Gayani Manjula Wedage දන්න තරමින් අක්කා දේශපාලකයන්ට කඩේ යන එක එකාගේ හොර අඹුවක් නෙවෙයි මෙහෙම පේජ් කරන මිනිස්සුන්ට අපහාස කරන අය වෙනුවෙන් ගන්න පුළුවන් හොදම පියවර ගන්න අක්කේ මොකද මේක පුංචි අපහාසයක් නම් නෙවෙයි,Political,ද තර අක දෂපලකයන කඩ එක එක හර අබව නව මහ පජ කරන මනසසන අපහස කරන අය ග පල හද පයවර ග අක මක මක පච අපහසය නව
10,😂 වැඩකොලනඅපේවිලුවා 😂මව්බිමටහෙමින්කෙලිනා😂,Political,වඩකලනඅපවල මවබමටහමනකලන
12,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා ,Political,සහ ලක දෂපල අරබද සත හය ඉකම ගය අරබද සවෂෂ අවසථ
14,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් ,Political,සහ ලක දෂපල අරබද වසදම ජනප ද සහතක කල දන අවස
16,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https…,Political,සහ ලක දෂපල අරබද ජනප මතරප සරසන මනසක සකය අබයචනධකරනය පතසම
17,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් ,Political,සහ ලක දෂපල අරබද ජනප මතරප සරසන මනසක සකය අබයචනධකරනය පතසම
