id,text,class,filtered_sentence
0,SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ…,Political,පෙ පෙන සිදුව විකිනි මිල ගැනී හම හුර දාන මොඩ චන් දායක දුටුවි අහෝ අප සිරබ කෑවේ…
2,lanka C news  රනිල් අගමැති කරන්න යෝජනාවක් පාර්ලිමේන්තුවට  වැනිදා ඡන්ද විමසීමක් දෙමල සන්ධානයත් පක ,Political,රනිල අගමැ කර යෝජනාව පාර්ලිමේන්තුව වැනිද චන් විමසීම දෙම සන්ධාන පක
4,Jvp එක උගුරට හොරා බෙහෙත් බොනවjvp කරන්න ඕන ඒව රන්ජන් තනියම ගේම ගහනව,Political,එක උගුර හොර බෙහෙ බොනව කර ඔන එව රන්ජ තනිය ගේම ගහන
6,Gotabaya Rajapaksa ජනාධිපතිතුමණි ඔබතුමා රටක් පාලනය කරන්න තියා ගමේ මරණාධාර සමිතියේ සභාපතිකමටවත් සුදුසු නෑ කියලා ඔප්පු කරලා ඉවරයි,Political,ජනාධිපතිතුමනි ඔබතුම රට පාලන කර ති ගමේ මරනාධාර සමිති සබාපතිකමට සුදුස කිය ඔප් කර ඉවර
8,Gayani Manjula Wedage දන්න තරමින් අක්කා දේශපාලකයන්ට කඩේ යන එක එකාගේ හොර අඹුවක් නෙවෙයි මෙහෙම පේජ් කරන මිනිස්සුන්ට අපහාස කරන අය වෙනුවෙන් ගන්න පුළුවන් හොදම පියවර ගන්න අක්කේ මොකද මේක පුංචි අපහාසයක් නම් නෙවෙයි,Political,ද තර අක් දේෂපාලකයන් කඩේ එක එක හොර අබුව නෙවෙ මෙහෙ පේජ කරන මිනිස්සුන් අපහාස කරන අය ග පුලු හොද පියවර ග අක් මොක මේක පුංචි අපහාසය නෙවෙ
10,😂 වැඩකොලනඅපේවිලුවා 😂මව්බිමටහෙමින්කෙලිනා😂,Political,😂 වැඩකොලනඅපේවිල 😂මව්බිමටහෙමින්කෙලිනා😂
12,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා ,Political,සිංහ ලංක දේෂපාල අර්බුද සති හය ඉක්ම ගිය අර්බුද සුවිෂේෂ අවස්ථ
14,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් ,Political,සිංහ ලංක දේෂපාල අර්බුද විසදීම ජනප ද සහතික කාල දින අවස
16,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https…,Political,සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම …
17,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් ,Political,සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම
