word,start_time,end_time,speaker,text,confidence,hate
ඔබතුමා,0.3,0.5,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
කිය,39.3,39.5,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
තියෙන්න,37.9,38.0,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
අසාර්ථක,3.3,4.5,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
අසාර්ථක,3.3,4.5,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
වීම,4.5,4.9,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
හේත,4.9,5.0,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
පරාජ,5.0,7.4,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
වීම,4.5,4.9,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
හේත,4.9,5.0,0,මේ ගැන ඔබතුමාට කියන්න තියෙන්නෙ අසාර්ථකයි අසාර්ථක වීමට හේතු පරාජය වීමට හේතුව තේරෙන්නෙ දක්ෂතා පැමිණේ පැමිණීමට නොහැකිවීම හැබැයි අපි දැක්කද ඔබතුමාලා පළපුරුදු ක්‍රීඩකයෙකු හෝ එකෙන් ප්‍රයෝජනයක් වුනා ද ගොනෙක් බැලුවද මොකද මං කෙසෙල් ලංකා ඔබගේ පඩිය වගකීම ඔබ ඉටු කරා එළඹ ඉන්න ලබා ගන්න දෙයක් නෑ කණ්ඩායමක් හැටියට ක්‍රීඩා කරද්දී අනිත් අයගේ සහයෝගය ලැබුණේ කණ්ඩායමට සහයෝගය ඇසුර තරගය පරාජය වෙන්න මොකක් හරි හේතුවක් තියෙන්න සහයෝගය දක්ෂතාව කියන වචන දෙකක් එතකොට අපේ ලංකාවේ ක්‍රිකට් කණ්ඩායම එකමුතු භාවයක් නෑ නේද කවුද කියන්නෙ හැටියට අපිට මේ විදිහට දැන් ඉන්නේ අපි දැන් වෙන්නේ,0.8503699898719788,0.27108905
