classes,audio_age_range,audio_gen,hate,sentiment_word,age,gen,emotion,age_classes,Severity,Normalized Severity
Sexual,2,1,0.9996218,0.0,34,F,Sad,2,11,5
Religious,2,1,0.2611291,0.0,31,M,Sad,2,12,6
Religious,2,1,0.2611291,-1.0,37,F,Neutral,2,12,6
Entertainment,2,1,0.10409571,0.0,34,F,Sad,2,10,4
Entertainment,3,1,0.9111853,0.0,37,M,Sad,2,8,3
Entertainment,3,1,0.9111853,-1.0,37,M,Sad,2,10,4
Entertainment,2,1,0.9111853,0.0,40,M,Neutral,3,6,1
Entertainment,2,1,0.9111853,0.0,40,M,Neutral,3,6,1
Entertainment,2,1,0.9111853,-1.0,37,M,Neutral,2,10,4
Entertainment,3,1,0.019831644,0.0,37,M,Sad,2,8,3
Entertainment,2,1,0.0013682253,0.0,32,F,Sad,2,10,4
Entertainment,2,1,0.0013682253,-1.0,32,F,Sad,2,12,6
Political,2,1,0.049431216,0.0,35,F,Sad,2,12,6
Sexual,2,1,0.9996218,0.0,34,F,Sad,2,11,5
Religious,2,1,0.2611291,0.0,31,M,Sad,2,12,6
Religious,2,1,0.2611291,-1.0,37,F,Neutral,2,12,6
Entertainment,2,1,0.10409571,0.0,34,F,Sad,2,10,4
Sexual,2,1,0.9996218,0.0,34,F,Sad,2,11,5
Religious,2,1,0.2611291,0.0,31,M,Sad,2,12,6
Religious,2,1,0.2611291,-1.0,37,F,Neutral,2,12,6
Entertainment,2,1,0.10409571,0.0,34,F,Sad,2,10,4
Entertainment,3,1,0.9111853,0.0,37,M,Sad,2,8,3
Entertainment,3,1,0.9111853,-1.0,37,M,Sad,2,10,4
Entertainment,2,1,0.9111853,0.0,40,M,Neutral,3,6,1
Entertainment,2,1,0.9111853,0.0,40,M,Neutral,3,6,1
Entertainment,2,1,0.9111853,-1.0,37,M,Neutral,2,10,4
Entertainment,3,1,0.019831644,0.0,37,M,Sad,2,8,3
Entertainment,2,1,0.0013682253,0.0,32,F,Sad,2,10,4
Entertainment,2,1,0.0013682253,-1.0,32,F,Sad,2,12,6
Political,2,1,0.049431216,0.0,35,F,Sad,2,12,6
Entertainment,3,1,0.9111853,0.0,37,M,Sad,2,8,3
Entertainment,3,1,0.9111853,-1.0,37,M,Sad,2,10,4
Entertainment,2,1,0.9111853,0.0,40,M,Neutral,3,6,1
Entertainment,2,1,0.9111853,0.0,40,M,Neutral,3,6,1
Entertainment,2,1,0.9111853,-1.0,37,M,Neutral,2,10,4
Entertainment,3,1,0.019831644,0.0,37,M,Sad,2,8,3
Entertainment,2,1,0.0013682253,0.0,32,F,Sad,2,10,4
Entertainment,2,1,0.0013682253,-1.0,32,F,Sad,2,12,6
Political,2,1,0.049431216,0.0,35,F,Sad,2,12,6
