frame,start_time,end_time,age,gen,emotion,age_classes,severity_score
456,30.356303,30.4229696,35,F,Sad,2,2
459,30.5563028,30.6229694,34,F,Sad,2,2
527,35.089631600000004,35.156298199999995,40,F,Sad,3,3
528,35.156298199999995,35.2229648,39,F,Sad,2,2
531,35.356298,35.4229646,37,F,Neutral,2,1
853,56.822943200000005,56.8896098,36,F,Neutral,2,1
2818,187.8228122,187.8894788,36,F,Sad,2,2
2819,187.8894788,187.9561454,39,F,Sad,2,2
2820,187.9561454,188.022812,39,F,Neutral,2,1
2821,188.022812,188.0894786,40,F,Sad,3,3
2823,188.1561452,188.2228118,37,F,Sad,2,2
4186,279.02272100000005,279.0893876,34,F,Sad,2,2
114,7.5563258,7.6229924,32,F,Sad,2,2
116,7.689659,7.7563256,33,F,Sad,2,2
118,7.8229922,7.8896588,33,F,Sad,2,2
137,9.0896576,9.156324199999998,30,F,Sad,2,2
140,9.2896574,9.356324,30,F,Sad,2,2
141,9.356324,9.4229906,30,F,Sad,2,2
142,9.4229906,9.4896572,30,F,Sad,2,2
150,9.9563234,10.02299,30,F,Sad,2,2
151,10.02299,10.0896566,31,M,Sad,2,2
155,10.2896564,10.356323,29,M,Sad,1,2
161,10.689656,10.7563226,28,F,Sad,1,2
168,11.1563222,11.2229888,29,F,Sad,1,2
169,11.2229888,11.2896554,29,F,Sad,1,2
170,11.2896554,11.356322,30,M,Sad,2,2
171,11.356322,11.4229886,30,M,Sad,2,2
172,11.4229886,11.4896552,30,M,Sad,2,2
173,11.4896552,11.5563218,30,M,Sad,2,2
174,11.5563218,11.6229884,30,M,Sad,2,2
175,11.6229884,11.689655,30,M,Sad,2,2
176,11.689655,11.7563216,33,F,Happy,2,1
176,11.689655,11.7563216,30,M,Sad,2,2
177,11.7563216,11.8229882,31,F,Sad,2,2
177,11.7563216,11.8229882,30,F,Sad,2,2
178,11.8229882,11.8896548,30,F,Sad,2,2
178,11.8229882,11.8896548,31,M,Sad,2,2
179,11.8896548,11.9563214,34,F,Sad,2,2
179,11.8896548,11.9563214,31,M,Sad,2,2
180,11.9563214,12.022988,32,F,Neutral,2,1
180,11.9563214,12.022988,31,M,Sad,2,2
181,12.022988,12.0896546,32,F,Neutral,2,1
181,12.022988,12.0896546,31,M,Sad,2,2
182,12.0896546,12.1563212,34,M,Neutral,2,1
182,12.0896546,12.1563212,33,M,Sad,2,2
183,12.1563212,12.2229878,34,F,Sad,2,2
183,12.1563212,12.2229878,30,M,Sad,2,2
184,12.2229878,12.2896544,33,F,Sad,2,2
184,12.2229878,12.2896544,31,M,Sad,2,2
185,12.2896544,12.356321,33,F,Neutral,2,1
185,12.2896544,12.356321,31,M,Sad,2,2
186,12.356321,12.4229876,33,F,Neutral,2,1
186,12.356321,12.4229876,32,M,Sad,2,2
187,12.4229876,12.4896542,34,F,Neutral,2,1
187,12.4229876,12.4896542,32,M,Sad,2,2
188,12.4896542,12.5563208,33,M,Sad,2,2
188,12.4896542,12.5563208,33,M,Sad,2,2
189,12.5563208,12.6229874,34,M,Sad,2,2
189,12.5563208,12.6229874,31,M,Sad,2,2
190,12.6229874,12.689654,34,M,Sad,2,2
190,12.6229874,12.689654,32,M,Sad,2,2
191,12.689654,12.7563206,35,M,Sad,2,2
191,12.689654,12.7563206,32,M,Sad,2,2
192,12.7563206,12.8229872,34,F,Sad,2,2
192,12.7563206,12.8229872,30,M,Sad,2,2
193,12.8229872,12.8896538,31,M,Sad,2,2
